,Name,z_d,R_eff,R_ein,O_e2,O_e2_err,M*,M*_err,gamma,gamma_err,Notes,Component_Number,m_SL2S,Reff,e_Reff,q,e_q,PA,e_PA,mag,Grade,Note,HST
0,J021247-055552,0.750,8.92,9.33,267,17,11.45,0.17,2.05,0.09,\\,1,,1.27,0.04,0.82,0.04,-34.3,3.5,25.11,A,,N
1,J021325-074355,0.717,17.67,17.22,287,33,11.97,0.19,1.79,0.12,\\,2,,2.39,0.07,0.54,0.01,17.8,0.4,23.68,A,,Y
2,J021411-040502,0.609,6.29,9.48,238,15,11.60,0.14,1.85,0.07,\\,1,,1.41,0.04,0.59,0.02,-84.0,1.1,24.61,A,,Y
3,J021737-051329,0.646,4.27,8.80,270,21,11.53,0.16,2.02,0.09,\\,2,,1.27,0.04,0.85,0.02,-75.1,3.3,24.06,A,,Y
4,J021902-082934,0.389,3.01,6.88,300,23,11.50,0.10,2.26,0.08,\\,1,,1.3,0.04,0.80,0.06,-82.4,3.9,26.31,A,,Y
5,J022511-045433,0.238,8.59,6.65,226,20,11.81,0.09,1.78,0.10,\\,1,,1.76,0.05,0.58,0.02,24.6,0.4,23.61,A,,Y
6,J022610-042011,0.494,6.44,7.23,266,24,11.73,0.11,2.01,0.12,\\,1,,1.19,0.04,0.79,0.03,-10.1,6.0,25.26,A,,Y
7,J023251-040823,0.352,4.78,5.15,271,20,11.36,0.09,2.39,0.10,\\,1,,1.04,0.03,0.94,0.03,76.8,60.9,24.36,A,,Y
8,J084847-035103,0.682,3.21,6.02,205,21,11.24,0.16,1.84,0.13,\\,1,,0.85,0.07,0.77,0.18,80.5,57.5,23.83,A,,N
9,J084909-041226,0.722,3.55,7.94,312,18,11.63,0.13,2.14,0.07,\\,1,,1.1,0.03,0.73,0.03,40.5,1.6,24.16,A,,Y
10,J084959-025142,0.274,6.11,4.84,275,34,11.52,0.09,2.33,0.17,\\,1,,1.16,0.04,0.72,0.04,-62.7,2.3,25.85,A,,Y
11,J085019-034710,0.337,1.35,4.48,307,25,11.14,0.09,2.45,0.07,disky\\,1,,0.93,0.03,0.44,0.05,2.2,3.7,25.59,A,disky,N
12,J085540-014730,0.365,3.48,5.21,222,19,11.11,0.10,2.15,0.11,\\,1,,1.03,0.04,0.96,0.03,-64.4,40.5,25.32,A,,N
13,J090407-005952,0.611,16.81,9.47,178,20,11.55,0.12,1.48,0.11,\\,1,,1.4,0.04,0.64,0.01,71.8,0.8,24.32,A,,Y
14,J095921+020638,0.552,3.47,4.73,195,22,11.28,0.11,2.12,0.16,\\,1,,0.74,0.02,0.95,0.01,-72.0,2.3,26.79,A,,Y
15,J135949+553550,0.783,13.08,8.52,229,19,11.41,0.15,1.86,0.14,\\,1,,1.14,0.03,0.60,0.01,55.7,0.5,25.53,A,,Y
16,J140454+520024,0.456,11.78,14.80,337,19,12.10,0.10,1.95,0.06,\\,1,,2.55,0.08,0.55,0.03,70.9,0.8,24.79,A,,N
17,J140546+524311,0.526,4.58,9.48,291,21,11.67,0.11,2.14,0.08,\\,2,,1.51,0.05,0.45,0.04,-53.3,2.3,26.44,A,,Y
18,J140650+522619,0.716,4.35,6.79,258,14,11.60,0.15,2.01,0.07,\\,1,,0.94,0.03,1.00,0.01,-26.8,0.5,24.08,A,,Y
19,J141137+565119,0.322,3.04,4.34,220,23,11.28,0.09,2.15,0.15,\\,1,,0.93,0.03,0.85,0.01,62.4,0.3,24.53,A,,Y
20,J142059+563007,0.483,7.86,8.39,228,19,11.76,0.10,1.93,0.11,\\,1,,1.4,0.04,0.67,0.01,-10.4,0.3,25.17,A,,Y
21,J220329+020518,0.400,3.86,10.49,218,21,11.26,0.10,1.77,0.09,\\,1,,1.95,0.06,0.45,0.01,-31.8,0.2,24.95,A,,Y
22,J220506+014703,0.476,3.93,9.87,326,30,11.51,0.10,2.19,0.09,\\,1,,1.66,0.06,0.74,0.04,81.1,3.4,23.68,A,,N
23,J221326-000946,0.338,2.41,5.17,177,15,10.99,0.10,1.89,0.09,disky\\,1,,1.07,0.03,0.20,0.01,-41.5,0.5,24.82,A,disky,Y
24,J222148+011542,0.325,5.27,6.59,224,23,11.55,0.09,1.96,0.13,\\,1,,1.4,0.05,0.88,0.03,77.7,3.8,24.48,A,,N
